,単語,意味
1762,attend to,対応する
1763,drop off,~を（車から）降ろす
1764,look into,吟味する、詳しく調べる
1765,subscription,"定期購読,処方箋、定期購読"
1766,storage,"保管、貯蔵,保存、倉庫"
1767,counterpart,相当する人（物）
1768,commend,"ほめる,〜を褒める"
1769,incident,偶然の出来事
1770,commence,"始まる,〜を開始する"
1771,stapler,"ホチキス,ホチキス"
1772,redeen,~を回復する、取り戻す、~を現金に換える
1773,surrounding,周辺の
1774,conclusion,"結論,結論,結論"
1775,mount,"取り付ける、登る,〜を実施する,山に登る"
1776,perspective,"視点,観点"
1777,anticipated,待ち望まれた
1778,prior,"前の,優先の"
1779,assessment,"評価、見積もり,評価、診断"
1780,dissolve,溶ける
1781,aircraft,"航空機,航空機,航空機"
1782,consult,"相談する,相談する"
1783,advocate,提唱者、支持者／提唱する
1784,escort,付き添う、送り届ける
1785,dairy,乳製品、酪農場、酪農業／牛乳の、乳製品の
1786,librarian,図書館員
1787,screen,"選別する,画面"
1788,trademark,商標
1789,inherit,"引き継ぐ,（財産などを）相続する"
1790,phase,段階
1791,inn,"宿、ホテル,旅館"
1792,limitation,弱点
1793,engage,参加する、従事する
1794,custodian,管理人、守衛
1795,specialize,専門にする
1796,transit,輸送、通過
1797,equip,備え付ける、装備する
1798,logistics,物流
1799,invert,逆にする
1800,correspondent,"特派員、通信員,特派員"
1801,overtime,"残業／時間外に,時間外に,残業、延長"
1802,pension,"年金,年金"
1803,refrain,やめる、差し控える
1804,consequence,"結果,結果"
1805,modify,修正する
1806,premises,敷地
1807,defective,"欠陥のある、不良の,欠陥のある"
1808,emphasis,強調、重点
1809,dispose,処分する
1810,athlete,"スポーツ選手,スポーツ選手"
1811,interfere,妨害する
1812,attorney,"弁護士,弁護士"
1813,quarterly,"年に4回の、四半期ごとの／年に4回,四半期の,四半期"
1814,transition,"移行、転身,移行、移り変わり"
1815,convert,改造する、変える
1816,reorganization,組織再編
1817,revolve,循環する、展開する
1818,laundry,洗濯（物）
1819,overwhelm,圧倒する
1820,justification,"正当化の理由、正当化,正当化"
1821,extended,"長期の、長時間の,拡張した"
1822,fixture,設備、備品
1823,strive,努力する
1824,suegery,手術
1825,furnish,備え付ける
1826,take on,引き受ける
1827,harvest,"収穫,収穫、〜を収穫する"
1828,sue,"~を訴える,訴訟する"
1829,compartment,一区画
1830,fold,"折りたたむ,〜を折りたたむ"
1831,absord,吸収する、理解する
1832,outline,概要を説明する／概要
1833,shareholder,株主
1834,condense,濃縮する、要約する、短縮する
1835,belongings,所持品、所有物
1836,excursion,"お出かけ、小旅行,遠足"
1837,impose,課す、負わせる、強制する
1838,territory,担当地区、領地
1839,statue,"像、彫像,像"
1840,sculpture,彫刻
1841,contractor,請負業者、契約業者
1842,manner,"方法、やり方,マナー"
1843,urban,都会の、都市の、都会での
1844,assume,"引き受ける、思い込む、仮定する,～だと想定する"
1845,outlook,"見通し、モノの見方,見通し"
1846,withstand,"耐える,〜に耐える"
1847,commitment,約束、献身
1848,detect,見つける、検知する
1849,leak,"漏れる,漏れる"
1850,latter,"後者,後者"
1851,inhabit,"住む,〜に住む"
1852,ownership,所有（権）、所有者であること
1853,sentiment,"意見、感想,意見"
1854,transmit,伝達する
1855,outlet,"店舗、コンセント,直売店"
1856,compose,構成する、組織する
1857,handful,少数、少量
1858,motivate,"やる気を与える、動機付けする,〜に動機を与える"
1859,pastry,焼き菓子
1860,concentrate,"集中する,集中する"
1861,plumber,配管工
1862,tackle,"取り組む,〜に取り組む"
1863,listing,一覧
1864,characteristic,特徴／特徴的な
1865,resist,"耐性をもつ、抵抗する,〜に耐える"
1866,sector,部門、分野
1867,interval,間隔
1868,extent,"大きさ、範囲、程度,程度"
1869,lead to,もたらす
1870,combined,共同の、連合の
1871,distinguish,区別する
1872,draw up,作成する
1873,furnishings,家具、備品、調度品
1874,gathering,集会、集まり
1875,subsidize,助成金を払う
1876,accumulate,"蓄積する、積み上げる,〜を貯める"
1877,florist,花屋
1878,technician,"技師,技術者"
1879,dispatch,派遣する
1880,dependence,依存
1881,reverse,逆にする、くつがえす
1882,lodging,"宿泊所,宿泊施設"
1883,dedicated,"献身的な、専用の、特化した,熱心な,捧げた"
1884,consideration,検討、考慮、配慮
1885,revitalize,活性化する
1886,stain,"染み、汚れ,染み"
1887,assert,"断言する、主張する,〜を断言する、主張する"
1888,persistence,"粘り強さ,粘り強さ"
1889,exceptional,"並外れた、非常に素晴らしい,非常に優れた"
1890,remainder,"残り、残存物,残り"
1891,partial,"部分的な、一部の,部分的な"
1892,diagnosis,"診断,診断"
1893,patronage,愛顧、後援
1894,sidewalk,"歩道,歩道"
1895,jouenal,専門誌
1896,luncheon,昼食会
1897,alliance,事業提携、提携関係
1898,faculty,"教授陣、学部,学部"
1899,dealership,販売特約店
1900,array,大量、多数
1901,obligation,義務
1902,constraint,制約
1903,household,"家庭用の／家庭,世帯"
1904,garment,"衣料品、衣服,衣類"
1905,conflict,"対立、衝突,対立"
1906,displeasure,不愉快、不満
1907,precaution,"予防策、予防措置,予防策"
1908,indicator,指標
1909,circulation,"発行部数、流通、（図書館の）貸出,発行部数"
1910,veterinarian,獣医
1911,typically,"通常、典型的に,典型的に"
1912,digit,桁
1913,entirety,全体、全部
1914,restriction,制限
1915,portfolio,"作品集,ポートフォリオ、人物像"
1916,compensation,"報酬、補償,保証,補償、埋め合わせ,補償"
1917,craftspeople,職人
1918,detergent,洗剤
1919,incentive,報酬、刺激
1920,accommodations,宿泊施設
1921,comparable,同等の、匹敵する、類似の
1922,patent,"特許,特許,特許"
1923,terms,"観点、条件、言葉,期間、用語(複数)"
1924,assortment,詰め合わせ、分類
1925,subordinate,"部下,同僚,部下"
1926,destruction,破壊、倒壊
1927,publicity,"周知、注目,評判、広告"
1928,recognition,"推薦、認識、評価,認識,認識"
1929,residence,"住居,住宅"
1930,confines,範囲、制約
1931,rainfall,降雨、雨量
1932,debut,デビュー
1933,postage,"郵便料金,郵便料金"
1934,moisture,湿気
1935,morale,士気
1936,paycheck,"給料支払い小切手,給料"
1937,acquaintance,"知人、知識,知人"
1938,politician,政治家
1939,to date,今まで
1940,afterwards,その後で
1941,wholesale,"卸売りの,卸売り"
1942,exceptionally,並外れて、非常に
1943,inclusive,すべてを含んだ、含めて
1944,repeatedly,繰り返し
1945,generally,"おおむね、通常、一般的に,一般的に"
1946,after all,結局
1947,regional,地域の
1948,precisely,"正確に,正確に"
1949,subsequent,それに続く
1950,prominently,目立って、傑出して
1951,costly,費用のかかる、高価な
1952,reportedly,伝えられるところでは
1953,occupied,（部屋、座席、ベッド等が）使われている
1954,on commission,歩合制で
1955,knowledgeable,知識豊富な
1956,concentrated,集中的な、濃縮された
1957,confidential,"機密の、秘密の,機密の,機密の"
1958,on track,軌道に乗って
1959,in question,問題になっている
1960,informally,くだけて、非公式に
1961,circumstance,状況
1962,intentionally,意図的に
1963,abundant,"豊富な、十分な,豊富な"
1964,considerate,思いやりがある、理解がある
1965,roughly,"おおよそ,おおよそ,約、およそ"
1966,splendid,"素晴らしい,素晴らしい"
1967,swiftly,すばやく、迅速に
1968,consequently,"結果として,その結果,結果的に"
1969,doubtful,疑わしい
1970,given,"~を考慮すると、~と仮定すると,与えられた"
1971,proficient,堪能な、熟達した
1972,courtesy of,~の好意により
1973,noticeable,容易に気付く
1974,portion,"部分、一人分の食事,部分"
1975,prospective,見込みのある、将来の
1976,instrumental,重要な役割を果たす
1977,last-minute,間際での
1978,immense,"非常に大きな、巨大な,巨大な"
1979,speculation,"推測、推量,推測"
1980,commonly,一般に、通常、ふつうに
1981,supplement,補う／付録、付記、栄養補助食品
1982,agreeable,快適な、心地良い
1983,understaffed,"人手不足の,人手不足の"
1984,evident,"明らかな,明らかな"
1985,rarely,"めったに~しない、まれに,滅多に〜しない,めったに～ない"
1986,prsuasive,説得力のある
1987,logical,"妥当な、論理的な、筋の通った,論理"
1988,securely,しっかりと、安全に
1989,lumber,材木、製材
1990,noted,"有名な,指摘した"
1991,commemorate,祝う、記念する
1992,unpredictable,予測できない、法外な
1993,voluntary,"自主的な、任意の,ボランティアの"
1994,conscious,"意識している、自覚している,意図的な,意識"
1995,deprive,奪う
1996,timeline,予定表
1997,dismiss,"解雇する,〜を解雇する"
1998,demanding,"要求の厳しい,きつい"
1999,rafting,（いかだやゴムボートでの）川下り
2000,simultaneous,同時に起こる
2001,consolidate,統合する
2002,tidy,きちんとした、整頓された
2003,diverse,多種多様な、たくさんの種類の
2004,syndicate,複数の新聞に同時に配給する
2005,outdated,時代遅れの
2006,revert,戻る
2007,pilot,試験的な
2008,beneficial,有益な
2009,essential,"最も重要な、必要不可欠な、本質的な,不可欠の"
2010,freight,貨物、輸送、輸送料／輸送する
2011,aggressive,"攻撃的な、積極的な,攻撃的な、積極的な,積極的な"
2012,endorse,支持する
2013,adjacent,~に隣接した
2014,discontinued,（製造・販売が）終了した
2015,joint,"合併の、共同の,共同の"
2016,pertain,該当する
2017,mentoring,メンター制度
2018,liable,"責任を負った,義務がある"
2019,spill,"こぼす、こぼれる,〜をこぼす"
2020,vast,"非常に大きな、莫大な,広大な"
2021,carry out,行う、実行する
2022,investigate,"調査する,〜を調査する"
2023,personalized,個人に合わせた、名前入りの
2024,subtle,気付きづらい、見つけにくい
2025,diversify,多様化する
2026,inactive,怠惰な、活動していない
2027,neighboring,近隣の
2028,deplete,使い果たす
2029,situated,位置している
2030,inevitable,避けられない
2031,speculate,予測する
2032,picturesque,絵のように美しい
2033,superb,素晴らしい
2034,recount,詳しく話す
2035,considerably,"かなり,かなり"
2036,managerial,管理職の、経営上の
2037,minimal,最小の
2038,intervene,介在する、口をはさむ
2039,inclement,荒れ模様の、厳しい
2040,delete,"削除する,〜を削除する"
2041,solicit,求める
2042,comprehend,"理解する,〜を理解する"
2043,legible,判読できる
2044,emerging,新たに現れた、新興の
2045,exhausted,疲れ切った
2046,preliminary,"仮の、暫定の、本番前の,予備の"
2047,thrilled,とてもわくわくして、大喜びした
2048,disclose,"明らかにする,〜を公表する"
2049,external,"外の、外面の,外部の"
2050,embark on,着手する、乗り出す
2051,allowable,許される、許容できる／手当、許容量
2052,scenic,眺めがいい、景色の
2053,sophisticated,洗練された、高性能の
2054,scatter,まきちらす
2055,revolutionary,革命的な
2056,acclaimed,絶賛されている、評価された
2057,informative,有益な
2058,concede,譲歩する
2059,compulsory,義務的な
2060,delegare,委譲する、委任する
2061,vacant,空の、空いた、欠員の
2062,resistant,耐えられる、抵抗力のある
2063,designated,指定された
2064,disseminate,普及させる
2065,horizontal,水平の
2066,nationwide,全国的な／全国的に
2067,entertaining,"おもしろい、愉快な,面白い"
2068,file,"提出する,ファイル、整理する,〜を整理する,ファイル"
2069,ordinary,"普通の、通常の,普通の"
2070,applaud,拍手する
2071,permissible,許容される、容認できる
2072,datergent,洗剤
2073,identical,同一の
2074,resemble,"似ている,〜に似ている"
2075,tentative,"暫定的な,仮の"
2076,hands-on,実地の、実用的な
2077,fame,名声
2078,emerge,現れる
2079,profound,深遠な
2080,plummet,急落する
2081,unanimous,"満場一致の,全員一致の"
2082,spectacular,"壮観な、目を見張るほどの,見事な"
2083,ceremonial,儀式上の、形式的な
2084,modest,"少しの、高価ではない、謙虚な,控えめな"
2085,entrepreneur,起業家
2086,notable,注目すべき、有名な
2087,authentic,本物の
2088,break down,故障する
2089,genuine,本物の
2090,introductory,入門の、最初の、お試しの
2091,dilute,薄める
2092,premier,最高の、トップの
2093,screening,上映、検査
2094,embarrassing,恥ずかしい
2095,rectify,是正する
2096,put through,電話をつなぐ
2097,reveal,明らかにする
2098,lengthy,長期にわたる、冗長な
2099,utmost,"最大限の、これ以上ない,最大の"
2100,certified,有資格の、公認の
2101,misplace,紛失する、置き忘れる
2102,competent,"有能な,有能な"
2103,reminisce,懐かしむ
2104,coincide,同時に起こる
2105,vertical,垂直な
2106,subsidiary,"子会社,子会社"
2107,automated,"オートメーション化された,自動化した"
2108,procrastinate,先延ばしにする
2109,variable,変えられる
2110,disruption,混乱、妨げ
2111,distinguished,"際立って優れた、傑出した,著名な、有名な"
2112,incur,（損失や罰金等を）受ける
2113,shorthanded,人手が不足して
2114,subside,弱まる
2115,wasteful,無駄の多い
2116,ongoing,進行中の、続いている
2117,inferior,劣っている
2118,comply,"従う,準拠"
2119,periodical,定期刊行物
2120,suited,適任である
2121,portray,描写する、表現する
2122,hourly,1時間単位の
2123,pull into,車を寄せる
2124,arbitrary,恣意的な、任意の
2125,reunion,同窓会、再会
2126,objective,"目的、目標,目標,客観"
2127,facilitate,容易にする、促進する
2128,unfavorable,否定的な
2129,rigorous,厳格な、厳密な
2130,endangered,"絶滅の危機に瀕した,絶滅危惧の"
2131,diagnose,診断する
2132,delicate,"細心の注意を要する、デリケートな,壊れやすい"
2133,steadily,"着実に,徐々に"
2134,embrace,積極的に受け入れる、快諾する
2135,preferable,望ましい
2136,terminate,終わらせる
2137,negotiable,交渉可能な
2138,itemize,箇条書きにする
2139,apparent,明らかな、明白な
2140,outweigh,上回る
2141,waive,免除する、放棄する
2142,on-site,社内の、現場の
2143,shorten,"短くする,〜を短くする"
2144,adverse,良くない、不利な、逆の
2145,occupancy,占有、占有人数
2146,ancient,"古代の、大昔の,古代の,古代の"
2147,controversy,"論争,論争"
2148,conservative,"保守的な,控えめな"
2149,credentials,資格、経歴、資質
2150,concise,簡潔な
2151,oversight,見落とし、手落ち、監視
2152,drapery,カーテン
2153,resolution,"決議、解決策,決議、決定"
2154,continuous,連続の
2155,turnaround,立て直し、好転、処理時間
2156,suspicious,"不審な,疑いのある"
2157,clasp,留め具、金具
2158,vital,重要な、不可欠な
2159,pavement,"舗装道路,舗装道路"
2160,scrutiny,綿密な調査、凝視
2161,conventional,"従来型の、型にはまった,従来の"
2162,excess,"超過,超過"
2163,detailed,"詳細な,詳細な、細かい,詳細の"
2164,concession,"譲歩,譲歩"
2165,inspiring,やる気が出るような、活気づける
2166,amendment,"改正、修正,修正案"
2167,remarkable,"驚くべき、注目すべき,注目すべき"
2168,apprentice,見習い、実習生
2169,regrettable,残念な
2170,countless,"数え切れないほどの、無数の,数え切れない"
2171,liaison,連絡係、調整
2172,mutual,"共通した、相互の,相互の"
2173,depression,"不景気,不況"
2174,intermission,休憩時間
2175,retention,保持
2176,unforeseen,想定外の
2177,amenity,娯楽、生活を便利にするもの
2178,enthusiastically,熱心に
2179,exclusion,"除外,除外"
2180,ambitious,"意欲的な、野心的な,野心のある"
2181,superintendent,監督、管理者
2182,roster,当番表
2183,in conjunction with,~と関連して
2184,barely,"かろうじて、やっと,辛うじて"
2185,momentum,勢い
2186,strikingly,著しく
2187,lapse,時間の経過／失効する、うっかりミスをする
2188,tenure,在任期間
2189,voluntarily,自発的に、自主的に
2190,independently,単独で、独立して
2191,bond,"債権、公債、きずな,債券"
2192,remuneration,"報酬,報酬"
2193,observance,行事、順序
2194,premium,"保険料,プレミア"
2195,accrued,未収の
2196,tutorial,指導書、個別指導
2197,commensurate,釣り合った、比例した、見合った
2198,pointless,無意味な
2199,overwhelmingly,圧倒的に
2200,stringent,厳しい
2201,anecdote,逸話
2202,integral,重要な
2203,fertilizer,肥料
2204,admirable,"称賛に値する,称賛に値する"
2205,proofread,校正する
2206,surplus,"余分な／余り,黒字,剰余金"
2207,exempt,免除された
2208,aspiring,~志望の、~になろうとする
2209,internal,"内部の,内部の,内部の"
2210,assorted,詰め合わせの
2211,obligatory,義務的な
2212,interoffice,社内の、オフィス間の
2213,supplementary,付加的な
2214,mutually,互いに、相互に
2215,obsolete,古式の
2216,periodically,"定期的に,定期的に"
2217,prohibitive,高額な、法外な
2218,obstruct,（通路や視界を）ふさぐ、さえぎる
2219,sluggish,停滞した、不景気な、のろい
2220,fierce,熾烈な、荒々しい
2221,stagnant,停滞気味の
2222,solely,唯一、一人で、単独で
2223,insufficient,"不十分な,不十分な"
2224,devise,考案する、立案する
2225,negligent,無頓着な
2226,foster,"促進する、養う,〜を促す,後継者"
2227,resounding,際だった
2228,hypothesis,"仮説,仮説"
2229,correspondingly,それに応じて
2230,predecessor,"前任者、前機種,前任者"
2231,tentatively,仮に、試験的に
2232,adoption,採用
2233,rightfully,正しく、正当に
2234,emphatically,断固として、きっぱりと
2235,accelerate,加速させる、拍車をかける
2236,customarily,習慣的に
2237,outage,停止
2238,thereby,"それにより,それによって"
2239,condiment,調味料
2240,incidentally,たまたま、ついでに言えば
2241,appraisal,"査定、評価,評価"
2242,comparatively,比較的
2243,inadvertently,"不注意に、うっかり,うっかり"
2244,distraction,気を散らすもの、注意の妨げになるもの
2245,eloquently,雄弁に
2246,newlywed,新婚者
2247,contractually,契約により
2248,association,"協会,組合,団体,協会"
2249,literally,文字通り
2250,deduct,"控除する,〜を差引く"
2251,delegation,代表団、委譲
2252,in keeping with,~に沿って、準拠して
2253,synthetic,合成の
2254,in accordance with,~に従って、~と一致させて
2255,amid,~に囲まれて
2256,query,質問、疑念
2257,in light of,~を考慮すると
2258,patiently,根気よく、我慢強く
2259,pending,~を待つ間、~まで
2260,resumption,再開、回復
2261,thoughtfully,深く考えて、思慮深く、配慮して
2262,ratio,比率
2263,abridged,要約された、短縮された
2264,turnover,離職率
2265,carpool,相乗りする／相乗り
2266,qualification,資格
2267,compatible,相性が良い、互換性がある、共存できる
2268,dietary,食事の
2269,explicit,明白な、明確な
2270,objection,反対
2271,keenly,痛烈に、鋭く
2272,persuasive,説得力のある
2273,plaque,"盾,斑点"
2274,masterpiece,"名作,傑作"
2275,centerpiece,中心に置かれる装備品、中心になるもの
2276,outing,外出、ピクニック
2277,privileged,光栄な
2278,vessel,"船,船"
2279,recur,再発する
2280,respondent,回答者
2281,skeptical,懐疑的な、疑い深い
2282,artifact,（歴史的・文化的価値のある）工芸品、手工品
2283,conjecture,推測、憶測
2284,breathtaking,息をのむほどの、驚くべき
2285,subsidy,補助金、助成金
2286,cubicle,個別の作業スペース
2287,innovation,革新
2288,perishable,傷みやすい、腐りやすい
2289,sequence,連続、順番
2290,avid,熱心な、熱烈な
2291,affiliation,提携
2292,vicinity,近所、近辺
2293,lasting,"耐久性のある、長続きする,長続きする"
2294,affiliated,提携した、関連のある
2295,definitive,決定版の、最終的な
2296,insightful,洞察的な
2297,demolish,（建物を）解体する、取り壊す
2298,provisional,仮の、暫定的な
2299,redeemable,（現金や商品と）交換可能な
2300,preparatory,予備的な
2301,insulation,（音、熱、電気等を）防ぐこと
2302,ethical,論理的な
2303,deteriorate,悪化する
2304,consistant,一致した、一貫性のある
2305,bearer,（小切手やクーポン等の）持参人
2306,nutritious,"栄養豊かな,栄養のある"
2307,unprecedented,前例のない
2308,hazardous,危険な
2309,botanical,植物の、植物学の
2310,devoted,"献身的な,献身的な"
2311,deliberation,熟考
2312,discreetly,分別を持って、思慮深く
2313,lucrative,"儲かる、利益の上がる,儲かる"
2314,entail,必要とする、~を伴う
2315,nominal,僅かな
2316,fluctuation,変動
2317,interpersonal,対人の、人と人との間の
2318,foremost,最高の、トップの
2319,widespread,"普及した、広く行き渡った,広範囲にわたる"
2320,imperative,急を要する、非常に重要な
2321,misleading,誤解を招く
2322,meticulously,細心の注意を払って、きちょう面に
2323,inaugural,就任の、最初の
2324,outreach,福祉活動、支援活動
2325,affluent,"裕福な,豊富な"
2326,alleviate,和らげる、軽減する
2327,high-profile,人目を引く
2328,exemplary,模範的な
2329,gala,祝祭、祭り
2330,up-to-date,最新の
2331,mural,壁面
2332,intact,損傷のない
2333,proprietor,オーナー、所有者
2334,congested,"混雑した,混雑した"
2335,testimonial,推薦文、推薦の声
2336,fraud,詐欺
2337,fluorescent,蛍光色の
2338,vigorous,"活気のある、精力的な,熱烈な"
2339,flawless,欠点のない
2340,retreat,研修旅行
2341,prosperous,繁栄している、裕福な
2342,forge,築く、構築する
2343,hostile,"敵対的な,敵意のある"
2344,impending,間近に迫った、差し迫った
2345,poised,態勢が整った
2346,objectionable,不快な、気に障る
2347,ambiguous,あいまいな
2348,repave,再舗装する
2349,conclusive,決定的な
2350,shortcoming,欠点、短所
2351,probationary,試用期間中の
2352,memorabilia,記念品、思い出の品
2353,successive,"連続する,連続する"
2354,jeopardy,危機、危険
2355,serial,"連続する,シリアル"
2356,deviate,それる
2357,repetitive,反復的な
2358,forfeit,没収される、剥奪される／罰金、犠牲
2359,transparent,"透明な,透明な"
2360,bolster,強化する、補強する、鼓舞する
2361,applicable,適用される、あてはまる
2362,optimal,ベストの、最適な
2363,skilled,"熟達した,熟練の,熟練した"
2364,purveyor,供給業者、販売業者
2365,sleek,流線型の
2366,raffle,福引
2367,stranded,立ち往生した
2368,ventilation,換気、風通し
2369,classified,"分類された,分類された"
2370,unwavering,ゆるがぬ、断固とした
2371,sturdy,頑丈な、丈夫な
2372,exponentially,加速度的に、指数関数的に
2373,chairperson,"議長,委員長"
2374,table,"表,テーブル"
2375,opinion,"意見,意見"
2376,minute(s),議事録
2377,argument,議論
2378,church,教会
2379,business,"商取引,ビジネス"
2380,health,"健康,健康"
2381,fever,熱
2382,stimulus,刺激
2383,hospital,"病院,病院"
2384,plague,疫病
2385,breath,呼吸
2386,workout,運動
2387,ache,痛み、痛む
2388,organ,臓器
2389,fatal,致命的な
2390,wound,傷
2391,ritual,儀式
2392,restoration,回復
2393,preservation,保存
2394,bite,食事
2395,weight,"重さ、体重,重量、重さ"
2396,height,高さ
2397,width,幅
2398,length,"長さ,長さ"
2399,consensus,同意
2400,viewpoint,観点
2401,standpoint,観点
2402,subjects,"テーマ(主題),科目(複数) "
2403,diagram,図
2404,newsletter,会報、ニュースレター
2405,announcement,"発表,発表"
2406,discipline,"規律,規則"
2407,career,"職歴,職業,キャリア"
2408,license,"免許,ライセンス(複数) "
2409,requirements,"資格,要件(複数)"
2410,qualifications,資格
2411,enclosure,同封物
2412,specifications,"仕様書,仕様(複数)"
2413,university,"(総合)大学,大学"
2414,cousin,いとこ
2415,aunt,おば
2416,uncle,"おじ,叔父"
2417,daughter,"娘,娘"
2418,son,息子
2419,platform,"“(駅の)プラットフォ ーム”,プラットフォーム"
2420,partnership,提携
2421,threat,脅威
2422,astronaut,宇宙飛行士
2423,bush,低木
2424,assignment,"任務,宿題、割り当て"
2425,sales,"販売,売上高"
2426,unemployment,"失業,失業率"
2427,generosity,気前の良さ
2428,attitude,"態度,態度"
2429,character,性格
2430,mood,気分
2431,privilege,特権
2432,disappointment,失意
2433,desire,願望
2434,affair,問題
2435,machineries,機械
2436,components,部品
2437,transformation,変化
2438,assembly,"組み立て,集合"
2439,(job) opening,欠員
2440,odor,"におい(悪臭),臭い"
2441,sink,流し
2442,basement,地下室
2443,message,"伝言,メッセージ"
2444,diversity,多様性
2445,ethics,倫理
2446,moral,モラル、道徳
2447,stereotype,固定観念
2448,bias,偏見
2449,prejudice,偏見
2450,site,"場所,サイト、場所"
2451,skyscraper,超高層ビル
2452,undergraduate,大学生、学部生
2453,accommodation,"宿泊施設,宿泊施設"
2454,code,"規則,コード"
2455,diploma,卒業証書
2456,lecture,"講義,講義"
2457,grade,成績
2458,scholar,学者
2459,psychology,心理学
2460,staircase,階段
2461,stairs,階段
2462,stairway,階段
2463,government,"政府,政府"
2464,deregulation,規制緩和
2465,customs,税関
2466,right,"権利,正確な,右、正解"
2467,nation,"国家,国"
2468,data,"データ,データ"
2469,loyalty,忠誠
2470,trade,"貿易,貿易する・商売する,取引する、取引"
2471,immigrant,移住
2472,fortune,財産
2473,estate,"財産,不動産"
2474,assets,財産
2475,holdings,財産
2476,real estate,不動産
2477,shot,注射
2478,cough,せき
2479,illness,"病気,病気"
2480,sickness,病気
2481,yard,庭
2482,garden,庭
2483,housing,住宅
2484,housekeeping,家事
2485,deck,テラス
2486,suburbs,郊外
2487,outskirt,郊外
2488,land,"土地,着陸する,土地"
2489,garbage,ゴミ
2490,trash,"ゴミ,ごみ"
2491,litter,ゴミ
2492,utilities,公共料金
2493,subway,"地下鉄,地下鉄"
2494,laundries,洗濯物
2495,surgeon,外科医
2496,appetite,食欲
2497,cancer,"ガン,癌"
2498,diabetes,糖尿病
2499,throat,喉
2500,chest,胸
2501,pain,痛み
2502,strain,ストレス
2503,court,"裁判所,裁判所"
2504,law,"法律 ※lowは「低い」,法"
2505,lawyer,"弁護士,弁護士"
2506,(law)suit,訴訟
2507,education,"教育,教育"
2508,scenery,風景
2509,sight,"風景,景色"
2510,channel,経路
2511,lane,車線
2512,driver’s license,運転免許証
2513,identity,身元
2514,cab,タクシー
2515,motorbike,バイク
2516,mortercycle,バイク
2517,lot,"用地,多くの、塊"
2518,surface mail,海上便
2519,one way,片道
2520,round trip,往復航空
2521,railway line,鉄道
2522,laggage,手荷物
2523,mess,散らかった状態
2524,crosswalk,横断歩道
2525,avenue,"大通り,大通り"
2526,route,道、道筋
2527,factory,"工場,工場"
2528,election,選挙
2529,statesman,政治家
2530,childhood,子供時代
2531,minister,大臣
2532,congress,"国会,会議"
2533,refugee,難民
2534,intervention,介入
2535,instructions,"取扱説明書、指示,指示(複数)"
2536,prospectus,案内書
2537,crack,ヒビ
2538,burden,重荷
2539,premiums,保険金
2540,breakdown,故障
2541,edge,"縁、へり,端"
2542,laptop,"ノートパソコン,ノートパソコン"
2543,surface,"表面,表面"
2544,bottom,"底,底"
2545,frame,枠、額縁
2546,list,"リスト、名簿,一覧、リスト"
2547,operator,電話交換手、オペレーター
2548,offense,違反
2549,violation,違反
2550,defense,弁護
2551,grace,猶予、優雅さ
2552,punishment,処罰
2553,guilt,罪
2554,judgement,判断
2555,innocence,無実
2556,clue,手がかり
2557,assertion,主張
2558,defendant,被告人
2559,offender,犯罪者
2560,criminal,犯罪者
2561,jury,陪審員
2562,system,"制度,システム、機能"
2563,kind,"種類,親切な"
2564,article(s),記事(品物)
2565,cart,ショッピングカート
2566,advertisement,"宣伝、広告,広告"
2567,downtown,"都心,ダウンタウン"
2568,dish,皿
2569,drops,農作物
2570,appetizer,前菜
2571,actor,"俳優,俳優"
2572,actress,女優
2573,full house,満員
2574,shipping,"発送,出荷"
2575,perishables,生鮮食品
2576,mall,"ショッピングセンター,モール"
2577,cellphone,携帯電話
2578,container,"容器,コンテナ"
2579,workshop,講習会
2580,ornament,装飾品
2581,limit,"限度,制限"
2582,aid,"支援,〜の助けとなる"
2583,fair,"見本市,公平な"
2584,sympathy,同情
2585,bulletin board,掲示版
2586,advancement,昇進
2587,revision,修正
2588,rumor,噂
2589,custom(s),習慣(税関 )
2590,fate,運命
2591,destiny,運命
2592,index,指標
2593,faith,信頼
2594,sense,"意味,センス、感覚"
2595,traffic (jam),交通渋滞
2596,examination,試験
2597,breakthrough,大発見
2598,dependent,扶養家族
2599,courtesy,好意
2600,sacrifice,犠牲
2601,affection,愛情
2602,reliability,信頼性
2603,chance,"機会,チャンス"
2604,exhaustion,極度の疲労
2605,dissatisfaction,不満
2606,linen,テーブルクロス
2607,tablecloth,テーブルクロス
2608,time line,予定
2609,box office,切符売り場
2610,agent,"業者、代理人,エージェント"
2611,capital,資本
2612,opening hours,営業時間
2613,parcel,小包
2614,clearlance,在庫処分セール
2615,wedding,"結婚,結婚式"
2616,meat,肉
2617,caterer,仕出し業者
2618,boss,"上司,上司"
2619,quarrel,口論
2620,chairman,"委員長,会長"
2621,board of directors,役員会
2622,human resource,人事
2623,section,"課,セクション、部門"
2624,head office,本社
2625,chore,雑用
2626,part,"役割,一部"
2627,correction,修正
2628,collection,収集
2629,holiday,"休日,休日"
2630,welfare,福利厚生
2631,fatigue,疲労
2632,motivation,モチベーション、やる気
2633,business trip,出張
2634,farewell,送別会
2635,convenience,"便利,便利"
2636,deficit,赤字
2637,loss,"損失,損失"
2638,calculation,計算
2639,figure(out),数字(算出する)
2640,sum(up),合計、金額(合計する)
2641,expenditure,歳出
2642,tax,"税金,税"
